date,items,pettah_average,pettah_min_value,pettah_max_value,food_inflation_Base_2013,percipitation,Bankrupt,pettah_range,pettah_midpoint
9/14/2015,Potatoes (Rs/Kg)_Nuwaraeliya,96,90,100,108.2,3.79,0,10,95
9/14/2015,Pulses (Rs/Kg)_Red Dhal,178.8,168,187,108.2,3.79,0,19,177.5
9/14/2015,Pulses (Rs/Kg)_Green Gram,187,185,190,108.2,3.79,0,5,187.5
9/14/2015,Pulses (Rs/Kg)_Cowpea,230,225,235,108.2,3.79,0,10,230
9/14/2015,Rice (Rs/kg)_Samba 1,90,85,95,108.2,3.79,0,10,90
9/14/2015,Onion (Rs/Kg)_Sinnan,60,60,60,108.2,3.79,0,0,60
9/14/2015,Rice (Rs/kg)_Samba 2,83.6,83,85,108.2,3.79,0,2,84
9/14/2015,Rice (Rs/kg)_Nadu 2,64.4,64,65,108.2,3.79,0,1,64.5
9/14/2015,Onion (Rs/Kg)_Vedalan,82,80,85,108.2,3.79,0,5,82.5
9/14/2015,Rice (Rs/kg)_Nadu 1,63,62,64,108.2,3.79,0,2,63
9/16/2015,Pulses (Rs/Kg)_Cowpea,227.5,225,230,108.2,7.7,0,5,227.5
9/16/2015,Potatoes (Rs/Kg)_Welimada,80,75,85,108.2,7.7,0,10,80
9/16/2015,Pulses (Rs/Kg)_Red Dhal,179.2,170,186,108.2,7.7,0,16,178
9/16/2015,Potatoes (Rs/Kg)_Nuwaraeliya,100,95,105,108.2,7.7,0,10,100
9/16/2015,Pulses (Rs/Kg)_Green Gram,198.6,195,200,108.2,7.7,0,5,197.5
9/16/2015,Rice (Rs/kg)_Nadu 2,63.8,62,65,108.2,7.7,0,3,63.5
9/16/2015,Rice (Rs/kg)_Nadu 1,68,66,70,108.2,7.7,0,4,68
9/16/2015,Rice (Rs/kg)_Samba 2,84.6,84,85,108.2,7.7,0,1,84.5
9/16/2015,Rice (Rs/kg)_Samba 1,92.4,90,95,108.2,7.7,0,5,92.5
9/16/2015,Onion (Rs/Kg)_Vedalan,91,85,95,108.2,7.7,0,10,90
9/16/2015,Onion (Rs/Kg)_Sinnan,55,50,60,108.2,7.7,0,10,55
9/17/2015,Rice (Rs/kg)_Samba 1,92.8,91,95,108.2,6.7,0,4,93
9/17/2015,Rice (Rs/kg)_Samba 2,84.2,83,85,108.2,6.7,0,2,84
9/17/2015,Potatoes (Rs/Kg)_Welimada,85,80,90,108.2,6.7,0,10,85
9/17/2015,Pulses (Rs/Kg)_Green Gram,195,190,200,108.2,6.7,0,10,195
9/17/2015,Pulses (Rs/Kg)_Cowpea,227.5,225,230,108.2,6.7,0,5,227.5
9/17/2015,Potatoes (Rs/Kg)_Nuwaraeliya,102,100,105,108.2,6.7,0,5,102.5
9/17/2015,Pulses (Rs/Kg)_Red Dhal,181.8,170,186,108.2,6.7,0,16,178
9/17/2015,Onion (Rs/Kg)_Vedalan,86,80,90,108.2,6.7,0,10,85
